tipo_acto,tipo_destinatario,tipo_discapacidad,ok,urgencia,titulo,url,error
testimonial,actor,,OK,rojo,"Usted ha sido condenado por robo. Esto es lo que debe saber",https://notificar-clara.vercel.app/n/3fbdc66e-f675-43ab-ae2e-6c3f19160aeb,""
testimonial,actor,visual,OK,rojo,"Lo condenaron a tres años de prisión en suspenso por robo. Esto es lo que debe saber.",https://notificar-clara.vercel.app/n/c16c1844-ef8a-4dc7-93f0-92f92b6b88f1,""
testimonial,actor,auditiva,OK,rojo,"Lo que decide el juez: usted fue condenado por robo",https://notificar-clara.vercel.app/n/5b68ebfd-1b68-465e-8387-5254ee521cb0,""
testimonial,actor,motriz,OK,rojo,"La justicia lo condena a 3 años de prisión en suspenso por robo",https://notificar-clara.vercel.app/n/cf6ad3e4-7b19-4fca-9bf1-148dc0bb2208,""
testimonial,actor,intelectual,OK,rojo,"Usted ha sido condenado por robo. Esto es lo que debe saber.",https://notificar-clara.vercel.app/n/25a4c93e-5463-4b64-b58e-dcfea336454c,""
testimonial,demandado,,OK,rojo,"Lo han condenado a prisión en suspenso por robo y debe cumplir obligaciones",https://notificar-clara.vercel.app/n/b9e08f0c-a263-4ece-ae35-de0f0117aca2,""
testimonial,demandado,visual,OK,rojo,"Lo que decidió el juez sobre su caso de robo",https://notificar-clara.vercel.app/n/69ed646e-43b6-42c9-8340-077ea9f252fd,""
testimonial,demandado,auditiva,OK,rojo,"Le han condenado por robo, pero sin ir a prisión ahora",https://notificar-clara.vercel.app/n/5fa85500-8646-4979-949d-5784adc725e0,""
testimonial,demandado,motriz,OK,rojo,"Usted ha sido condenado por robo. La sentencia es apelable",https://notificar-clara.vercel.app/n/8450d85f-ffb8-4dbf-8833-dc31b2b2bf5c,""
testimonial,demandado,intelectual,OK,rojo,"Lo han condenado por robo. Conocé sus derechos y obligaciones",https://notificar-clara.vercel.app/n/a9e0e822-2bc2-4bc8-8507-471d60c16370,""
testimonial,imputado,,OK,rojo,"Usted ha sido condenado a prisión en suspenso y debe cumplir obligaciones",https://notificar-clara.vercel.app/n/879cfebe-1856-4b0d-8baf-7abaa91f18a5,""
testimonial,imputado,visual,OK,rojo,"Usted ha sido condenado por robo. Esto es lo que debe saber.",https://notificar-clara.vercel.app/n/6a9e0282-b0fa-452f-8c9a-cf0a6dce583d,""
testimonial,imputado,auditiva,OK,rojo,"Usted ha sido condenado por robo. Esto es lo que debe saber",https://notificar-clara.vercel.app/n/5d0e73c1-f885-4c19-8556-d851bdc5a6f2,""
testimonial,imputado,motriz,OK,rojo,"Usted ha sido condenado por robo. Conoce sus obligaciones y derechos",https://notificar-clara.vercel.app/n/88c12bab-a676-4723-ac94-998def510c5f,""
testimonial,imputado,intelectual,OK,rojo,"Usted ha sido condenado a prisión en suspenso por robo simple",https://notificar-clara.vercel.app/n/cf326dbb-7174-4b38-ae78-218c94bdc71e,""
testimonial,victima,,OK,rojo,"El juez lo ha condenado por robo: prisión en suspenso, obligaciones y pago de dinero",https://notificar-clara.vercel.app/n/3d54ffe6-9e7f-46c1-9468-af10ec1cca89,""
testimonial,victima,visual,OK,rojo,"Usted ha sido condenado: lo que debe saber sobre esta sentencia",https://notificar-clara.vercel.app/n/542117af-0706-473b-9a37-5ce91e797ecf,""
testimonial,victima,auditiva,OK,rojo,"Usted ha sido condenado a prisión en suspenso y debe cumplir obligaciones",https://notificar-clara.vercel.app/n/4c67b289-b1ff-4182-a585-868e0a1e624e,""
testimonial,victima,motriz,OK,rojo,"Lo han condenado a tres años de prisión en suspenso por robo",https://notificar-clara.vercel.app/n/9314113e-e080-4188-b900-317a814b02fc,""
testimonial,victima,intelectual,OK,rojo,"Usted ha sido condenado por robo. La sentencia impone pena de prisión en suspenso y obligaciones que debe cumplir",https://notificar-clara.vercel.app/n/4af1049a-5aa4-4161-a64e-d6055b1b0435,""
testimonial,testigo,,OK,rojo,"Usted ha sido condenado: lo que significa esta sentencia",https://notificar-clara.vercel.app/n/21072ad6-7961-4618-be65-e9fc02551cb2,""
testimonial,testigo,visual,OK,rojo,"Le han dictado sentencia: condenado a 3 años en suspenso por robo",https://notificar-clara.vercel.app/n/79c90a31-aec9-410d-b1ad-e8b221eee113,""
testimonial,testigo,auditiva,OK,rojo,"Usted ha sido condenado: lo que significa y qué debe hacer ahora",https://notificar-clara.vercel.app/n/432938f3-1820-44a9-9073-02985df52a44,""
testimonial,testigo,motriz,OK,rojo,"Lo han condenado a prisión en suspenso por robo. Esto es lo que debe saber",https://notificar-clara.vercel.app/n/65719431-09d2-48bb-8755-7c4b2ea561cc,""
testimonial,testigo,intelectual,OK,rojo,"Lo han condenado: debe saber qué significa esta sentencia y qué tiene que hacer ahora",https://notificar-clara.vercel.app/n/dd271b5c-29ce-44b0-a20f-bd586704d11e,""
testimonial,nna_0_6,,OK,rojo,"Usted ha sido condenado por robo. Esto es lo que debe saber.",https://notificar-clara.vercel.app/n/069fa9fe-ce7f-4f65-bd1c-986ab1b8b659,""
testimonial,nna_0_6,visual,OK,rojo,"Lo han condenado a tres años de prisión en suspenso por robo",https://notificar-clara.vercel.app/n/f01a9d29-3dd9-4658-b405-dc44a9bc731a,""
testimonial,nna_0_6,auditiva,OK,rojo,"Usted ha sido condenado por robo. Entienda qué significa esta sentencia y qué debe hacer ahora",https://notificar-clara.vercel.app/n/aeac898d-e255-40a7-a382-5a327ea554ba,""
testimonial,nna_0_6,motriz,OK,rojo,"La justicia lo ha condenado por robo: lo que significa y qué debe hacer ahora",https://notificar-clara.vercel.app/n/3630a695-dd4d-441f-99aa-2f4b89c95cdd,""
testimonial,nna_0_6,intelectual,OK,rojo,"Lo han condenado a prisión en suspenso por robo. Estas son sus obligaciones y derechos.",https://notificar-clara.vercel.app/n/0d56d2ba-d7f7-4cb6-a13f-7c1bbdd3a431,""
testimonial,nna_7_12,,OK,rojo,"Lo condenaron a 3 años de prisión en suspenso por robo",https://notificar-clara.vercel.app/n/e30d9bbb-9712-46f4-94b7-fbb979483c83,""
testimonial,nna_7_12,visual,OK,rojo,"Lo condenaron: debe cumplir con penas y obligaciones",https://notificar-clara.vercel.app/n/447bfd04-b852-444d-b0c5-9a848025d63d,""
testimonial,nna_7_12,auditiva,OK,rojo,"La justicia lo condenó por robo: qué significa y qué debe hacer ahora",https://notificar-clara.vercel.app/n/8dfa11b3-e495-4db1-b00c-edeeb0f333c1,""
testimonial,nna_7_12,motriz,OK,rojo,"Lo condenaron: debe cumplir con pena, obligaciones y puede apelar",https://notificar-clara.vercel.app/n/6ba70b3a-8080-4be6-8a60-118118f4acce,""
testimonial,nna_7_12,intelectual,OK,rojo,"Lo han condenado a tres años de prisión en suspenso por robo",https://notificar-clara.vercel.app/n/3fe5ae8d-11bf-4f19-bd74-f2992998cd88,""
testimonial,nna_13_17,,OK,rojo,"Lo que debe saber sobre su condena: prisión en suspenso, obligaciones y plazo para apelar",https://notificar-clara.vercel.app/n/bf5bffbf-16b5-421f-8a25-e4f5dd2d1af1,""
testimonial,nna_13_17,visual,OK,rojo,"Lo han condenado a prisión en suspenso por robo. Esto es lo que debe saber.",https://notificar-clara.vercel.app/n/cd2b4fae-cbb0-4ecd-a908-efa74da7cda9,""
testimonial,nna_13_17,auditiva,OK,rojo,"Usted ha sido condenado por robo. Conocer sus derechos y obligaciones",https://notificar-clara.vercel.app/n/7b44dfdb-e69e-4421-8d48-bcfb41c478cd,""
testimonial,nna_13_17,motriz,OK,rojo,"Le han condenado a prisión en suspenso y debe cumplir obligaciones",https://notificar-clara.vercel.app/n/af8eb001-4e49-4c8a-812f-934bd3874047,""
testimonial,nna_13_17,intelectual,OK,rojo,"Ha sido condenado: qué significa y qué debe hacer ahora",https://notificar-clara.vercel.app/n/d13d4a02-3804-447b-816c-506516522ab2,""
testimonial,adulto_mayor,,OK,rojo,"Una sentencia de condena: qué significa y qué debe hacer ahora",https://notificar-clara.vercel.app/n/07f18497-f710-49a6-9c2e-ea8c8bb2c003,""
testimonial,adulto_mayor,visual,OK,rojo,"El juez ha decidido que usted es culpable y le ha impuesto una condena",https://notificar-clara.vercel.app/n/4781d671-f435-40f7-84d1-8c45d564e304,""
testimonial,adulto_mayor,auditiva,OK,rojo,"Usted ha sido condenado a prisión en suspenso por robo. Conozca sus obligaciones y sus derechos.",https://notificar-clara.vercel.app/n/bbe5ad96-b23b-495b-a491-794d6ed02ed2,""
testimonial,adulto_mayor,motriz,OK,rojo,"Ha sido condenado/a por robo. Conocé qué significa esta sentencia y qué debe hacer ahora",https://notificar-clara.vercel.app/n/ef08fbfc-c876-4b04-b222-f486ee958997,""
testimonial,adulto_mayor,intelectual,OK,rojo,"La justicia lo ha condenado por robo. Esto es lo que debe saber.",https://notificar-clara.vercel.app/n/7cf79558-f2d2-4874-a543-076f0a0ce5d4,""
testimonial,letrado,,OK,rojo,"Le condenaron a 3 años de prisión en suspenso por robo",https://notificar-clara.vercel.app/n/c2093158-0621-4b95-ac73-9fcdaff26458,""
testimonial,letrado,visual,OK,rojo,"Ha sido condenado por robo: debe conocer sus obligaciones y derechos",https://notificar-clara.vercel.app/n/59db8d72-1b3b-4523-9fbc-ef09168c4d8c,""
testimonial,letrado,auditiva,OK,rojo,"Lo han condenado a prisión en suspenso y debe cumplir obligaciones",https://notificar-clara.vercel.app/n/d6e99ce1-0da9-4310-97a6-8a5d2d1ac81c,""
testimonial,letrado,motriz,OK,rojo,"La justicia lo ha condenado por robo. Aquí está la sentencia.",https://notificar-clara.vercel.app/n/61159148-32a7-439b-a311-41c544e5139a,""
testimonial,letrado,intelectual,OK,rojo,"Usted ha sido condenado por robo. Esto es lo que debe hacer ahora",https://notificar-clara.vercel.app/n/57bc89e9-1dd1-405f-b971-2b92e360a5cc,""
testimonial,perito,,OK,rojo,"La justicia lo condenó por robo: qué debe hacer ahora",https://notificar-clara.vercel.app/n/15c9ad1d-2a12-47a0-91f4-2889b922a2d0,""
testimonial,perito,visual,OK,rojo,"Le han condenado a tres años de prisión en suspenso por robo",https://notificar-clara.vercel.app/n/0df64cd8-27f9-405e-8c47-c68865eede21,""
testimonial,perito,auditiva,OK,rojo,"Lo han condenado a prisión en suspenso por robo. Esto es lo que debe saber.",https://notificar-clara.vercel.app/n/6e77f589-1842-495a-a64a-b230cf3b12ff,""
testimonial,perito,motriz,OK,rojo,"Lo han condenado por robo: qué significa la sentencia y qué debe hacer ahora",https://notificar-clara.vercel.app/n/722cd93e-1918-46ff-9632-019a1421b702,""
testimonial,perito,intelectual,OK,rojo,"Usted ha sido condenado a prisión en suspenso por robo. Debe cumplir obligaciones específicas y puede apelar.",https://notificar-clara.vercel.app/n/3d9c316a-b255-4ef0-b4c8-7b65af5faac9,""
indagatoria,actor,,OK,rojo,"Lo condenaron a prisión en suspenso y debe cumplir obligaciones",https://notificar-clara.vercel.app/n/9f41e7ea-a247-4fba-b186-eb15f1f80c30,""
indagatoria,actor,visual,OK,rojo,"Ha sido condenado/a por robo. Conocé sus derechos y obligaciones",https://notificar-clara.vercel.app/n/20839ea7-72b8-49ad-89ae-ed80ea7d5634,""
indagatoria,actor,auditiva,OK,rojo,"Usted fue condenado por robo. Esto es lo que debe saber.",https://notificar-clara.vercel.app/n/6151c4c9-473c-4b7d-97af-772124e2cafa,""
indagatoria,actor,motriz,OK,rojo,"Ha sido condenado por robo. Esto es lo que debe saber.",https://notificar-clara.vercel.app/n/706e3ec3-1237-475b-ab5a-83de7d2d4145,""
indagatoria,actor,intelectual,OK,rojo,"Lo condenaron a tres años de prisión en suspenso por robo",https://notificar-clara.vercel.app/n/c6bee801-9f68-47e4-a1cb-371670c30230,""
indagatoria,demandado,,OK,rojo,"Lo condenaron: 3 años de prisión en suspenso por robo, y tiene que pagar 500 mil pesos",https://notificar-clara.vercel.app/n/99bbede7-8518-4eb3-bb6f-fbbb3ea1213e,""
indagatoria,demandado,visual,OK,rojo,"Usted fue condenado por robo. Esto es lo que debe saber",https://notificar-clara.vercel.app/n/2ea98284-3009-44bc-aff2-dc4e91463b98,""
indagatoria,demandado,auditiva,OK,rojo,"Ha sido condenado por robo. Esto es lo que debe saber y hacer ahora.",https://notificar-clara.vercel.app/n/97baf3da-b4a7-49c6-aabb-f13576e88417,""
indagatoria,demandado,motriz,OK,rojo,"Lo han condenado: debe conocer sus derechos y obligaciones",https://notificar-clara.vercel.app/n/4c2d5d30-f45c-425d-95db-a06bb11c8cfc,""
indagatoria,demandado,intelectual,OK,rojo,"Ha sido condenado: 3 años de prisión en suspenso por robo",https://notificar-clara.vercel.app/n/e6744623-6588-40e1-8b53-94f2eff83425,""
indagatoria,imputado,,OK,rojo,"Lo han condenado a tres años de prisión en suspenso por robo",https://notificar-clara.vercel.app/n/7b05abcc-941f-4a19-8218-0c95651c0aaa,""
indagatoria,imputado,visual,OK,rojo,"Usted ha sido condenado a prisión en suspenso por robo. Debe cumplir obligaciones específicas.",https://notificar-clara.vercel.app/n/72a22cd8-67e1-4c25-815c-e04172bd2454,""
indagatoria,imputado,auditiva,OK,rojo,"Lo condenaron: debe cumplir con obligaciones importantes",https://notificar-clara.vercel.app/n/29de6325-a739-4298-8dbb-2e28f140e7e2,""
indagatoria,imputado,motriz,OK,rojo,"Lo condenaron a prisión en suspenso y debe cumplir obligaciones",https://notificar-clara.vercel.app/n/e2858f4f-fecb-4965-9551-358bab6c9f19,""
indagatoria,imputado,intelectual,OK,rojo,"Ha sido condenado por robo. Debe cumplir obligaciones y conocer su derecho a apelar",https://notificar-clara.vercel.app/n/abe18040-e41e-448f-b99b-dd0998a3639e,""
indagatoria,victima,,OK,rojo,"Usted ha sido condenado por robo. Conocé sus derechos y obligaciones",https://notificar-clara.vercel.app/n/f3dbb6ed-56ef-4836-a2f5-0bcadc653fbf,""
indagatoria,victima,visual,OK,rojo,"Lo han condenado por robo: esto es una sentencia judicial final",https://notificar-clara.vercel.app/n/6b56e5d0-7387-40cb-9598-eb632570a406,""
indagatoria,victima,auditiva,OK,rojo,"Usted ha sido condenado a 3 años de prisión en suspenso por robo",https://notificar-clara.vercel.app/n/6e94117b-f708-4efd-a7b6-eb4f719a4646,""
indagatoria,victima,motriz,OK,rojo,"Lo han condenado a prisión en suspenso por robo. Qué significa y qué debe hacer ahora.",https://notificar-clara.vercel.app/n/5288debb-851d-4f51-b7e1-4d586343e06f,""
indagatoria,victima,intelectual,OK,rojo,"Lo condenaron a prisión en suspenso por robo. Esto es lo que debe saber.",https://notificar-clara.vercel.app/n/8b100b6a-c6b3-4a28-889b-21c2501e4ac3,""
indagatoria,testigo,,OK,rojo,"Lo han condenado a tres años de prisión en suspenso por robo",https://notificar-clara.vercel.app/n/84d7af71-7e6d-46cc-893d-bd93fe8e067a,""
indagatoria,testigo,visual,OK,rojo,"Lo han condenado a tres años de prisión en suspenso por robo",https://notificar-clara.vercel.app/n/30b2ae71-092d-41f1-a3f1-d8d5a8f69965,""
indagatoria,testigo,auditiva,OK,rojo,"Usted ha sido condenado por robo. Esto es lo que debe saber.",https://notificar-clara.vercel.app/n/de78464a-2330-4a67-911d-0970919e8f68,""
indagatoria,testigo,motriz,OK,rojo,"Usted ha sido condenado por robo. Esto es una sentencia judicial definitiva.",https://notificar-clara.vercel.app/n/9bbd7048-0968-4ab9-b5f8-390211ec6c43,""
indagatoria,testigo,intelectual,OK,rojo,"Usted ha sido condenado a prisión en suspenso por robo. Esto es lo que significa",https://notificar-clara.vercel.app/n/76e13ae9-1b95-4c1d-b1f0-a17cd03da7a6,""
indagatoria,nna_0_6,,OK,rojo,"Usted ha sido condenado por robo. Esto es lo que significa y qué debe hacer ahora.",https://notificar-clara.vercel.app/n/c4e8cd5d-c8fd-41a5-8aa3-afbeafb9b96b,""
indagatoria,nna_0_6,visual,OK,rojo,"Lo han condenado a prisión en suspenso por robo. Esto es lo que debe saber.",https://notificar-clara.vercel.app/n/41b81888-83ea-4b16-8675-9b24820d0441,""
indagatoria,nna_0_6,auditiva,OK,rojo,"Lo condenaron por robo, pero no irá a prisión: tiene que cumplir obligaciones",https://notificar-clara.vercel.app/n/462d3b2b-319d-4e64-9c6c-5251b252eadc,""
indagatoria,nna_0_6,motriz,OK,rojo,"Ha sido condenado: debe conocer sus obligaciones y sus derechos",https://notificar-clara.vercel.app/n/fa52a374-414e-42e3-afcc-ff47a298c1a7,""
indagatoria,nna_0_6,intelectual,OK,rojo,"Usted ha sido condenado por robo: debe conocer sus derechos y obligaciones",https://notificar-clara.vercel.app/n/1d1e93f4-1baa-4b55-b044-69ea88688bc2,""
indagatoria,nna_7_12,,OK,rojo,"Lo condenaron a 3 años de prisión en suspenso por robo",https://notificar-clara.vercel.app/n/bc8c0733-94b9-4d61-9611-00e321dd60e3,""
indagatoria,nna_7_12,visual,OK,rojo,"La justicia lo condenó a 3 años de prisión en suspenso por robo",https://notificar-clara.vercel.app/n/4b50a6b4-df00-41b4-9f01-11f565836f7f,""
indagatoria,nna_7_12,auditiva,OK,rojo,"Le han condenado a prisión en suspenso por robo, con obligaciones que debe cumplir",https://notificar-clara.vercel.app/n/25e5b18d-b0ee-4b70-94c5-facfe6222ad3,""
indagatoria,nna_7_12,motriz,OK,rojo,"Usted ha sido condenado por robo. Aquí está explicado qué significa y qué debe hacer ahora.",https://notificar-clara.vercel.app/n/4d1557b2-3f99-4c6f-ac2c-c252cbe575a8,""
indagatoria,nna_7_12,intelectual,OK,rojo,"Usted ha sido condenado/a por robo. Esto es lo que significa y qué debe hacer ahora",https://notificar-clara.vercel.app/n/2de77596-8d1b-4cc0-98e0-056675b7d1d8,""
indagatoria,nna_13_17,,OK,rojo,"Ha sido condenado/a: conocé sus derechos y obligaciones",https://notificar-clara.vercel.app/n/69f21dd3-6d46-45e5-bc77-c79000572cbc,""
indagatoria,nna_13_17,visual,OK,rojo,"Lo han condenado a tres años en suspenso por robo. Esto es lo que debe saber.",https://notificar-clara.vercel.app/n/6b3f1b01-36c4-4c75-829e-fbcca2ea2bcd,""
indagatoria,nna_13_17,auditiva,OK,rojo,"Ha sido condenado por robo. Esto es lo que debe saber.",https://notificar-clara.vercel.app/n/5b1d7fa5-4df4-4ad7-8ec5-a739436ff5ce,""
indagatoria,nna_13_17,motriz,OK,rojo,"Lo han condenado a prisión en suspenso por robo. Esto es una sentencia y usted puede apelarla.",https://notificar-clara.vercel.app/n/f174b465-c448-4ba0-a109-085232bca59a,""
indagatoria,nna_13_17,intelectual,OK,rojo,"Usted ha sido condenado por robo. Debe cumplir condiciones importantes",https://notificar-clara.vercel.app/n/a0a41d58-ef55-46cd-9a3d-40ff5a890cf6,""
indagatoria,adulto_mayor,,OK,rojo,"Lo han condenado a tres años de prisión en suspenso por robo",https://notificar-clara.vercel.app/n/c9d2e2f1-4f14-47f1-8ae3-8c5d81691637,""
indagatoria,adulto_mayor,visual,OK,rojo,"La justicia lo ha condenado por robo. Estas son sus obligaciones y sus derechos.",https://notificar-clara.vercel.app/n/fea97641-59e7-4777-81e8-4df9b526b68d,""
indagatoria,adulto_mayor,auditiva,OK,rojo,"Usted ha sido condenado por robo. Estos son sus derechos y obligaciones.",https://notificar-clara.vercel.app/n/a1aab896-2e0e-4a4d-8a76-60a8bc17a6ad,""
indagatoria,adulto_mayor,motriz,OK,rojo,"Ha sido condenado a prisión en suspenso por robo. Conozca sus obligaciones y derechos",https://notificar-clara.vercel.app/n/5fa79eac-29d0-4c8a-885f-d6536128ae5d,""
indagatoria,adulto_mayor,intelectual,OK,rojo,"Usted ha sido condenado a prisión en suspenso. Conocer sus derechos y obligaciones",https://notificar-clara.vercel.app/n/c5c22ba8-5da1-43b0-a155-f53994063937,""
indagatoria,letrado,,OK,rojo,"Lo condenan a 3 años de prisión en suspenso por robo",https://notificar-clara.vercel.app/n/2f290632-f330-4cd6-9350-096acdf3310b,""
indagatoria,letrado,visual,OK,rojo,"Usted ha sido condenado por robo. Esto es lo que debe saber",https://notificar-clara.vercel.app/n/4e3fb377-821d-46b3-b94f-775cf0daba51,""
